Model,Accuracy_With_CI,Precision_With_CI,Recall_With_CI,F1-Score_With_CI,Params (M)_With_CI,FPS_With_CI,Latency (ms)_With_CI
EfficientNet-B0,0.9718 ± 0.0154,0.9587 ± 0.0209,0.9579 ± 0.0312,0.9564 ± 0.0304,4.09 ± 0.0,161.4465 ± 173.2935,7.2157 ± 9.0313
EfficientNet-B1,0.9713 ± 0.0175,0.9615 ± 0.0113,0.9532 ± 0.0412,0.9549 ± 0.0321,6.59 ± 0.0,99.1632 ± 94.9364,11.0644 ± 9.6508
EfficientNet-B2,0.9797 ± 0.0016,0.9718 ± 0.0059,0.9717 ± 0.0046,0.9712 ± 0.001,7.79 ± 0.0,108.8658 ± 87.1012,9.8416 ± 7.7187
EfficientNetV2-S,0.887 ± 0.0407,0.9005 ± 0.0328,0.887 ± 0.0407,0.8852 ± 0.0386,20.2556 ± 0.0,91.3185 ± 28.7238,11.0637 ± 3.3301
FasterNet-T0,0.9758 ± 0.0094,0.9661 ± 0.0134,0.9617 ± 0.0128,0.9626 ± 0.0133,2.7 ± 0.0,336.6019 ± 127.5801,3.0179 ± 1.1519
FasterNet-T1,0.9735 ± 0.0157,0.9626 ± 0.0238,0.9567 ± 0.0242,0.9574 ± 0.0267,6.39 ± 0.0,288.9658 ± 216.9756,3.7341 ± 3.3748
MobileNetV3-Small,0.9565 ± 0.0092,0.9559 ± 0.0097,0.9382 ± 0.0098,0.943 ± 0.0091,1.58 ± 0.0,249.6211 ± 51.4911,4.0238 ± 0.7942
ResNet-34,0.9635 ± 0.031,0.9534 ± 0.0348,0.952 ± 0.0415,0.9501 ± 0.0442,21.32 ± 0.0,308.124 ± 108.807,3.2889 ± 1.1425
ResNet-50,0.9652 ± 0.0351,0.9519 ± 0.0451,0.9533 ± 0.0473,0.95 ± 0.0529,23.63 ± 0.0,220.3461 ± 104.6136,4.6471 ± 2.1327
Swin-transformer-Tiny,0.9721 ± 0.0311,0.9652 ± 0.0359,0.9559 ± 0.0415,0.9578 ± 0.0436,27.57 ± 0.0,98.6771 ± 2.6517,10.1348 ± 0.2712
