Crop,Model,BLEU-4(‰),Average ROUGE F-score(‰)
apple,chatglm6b,55.33,73.76
apple,freeze10,106.56,99.81
apple,freeze10_alpaca_10K,105.72,89.63
apple,freeze10_alpaca_20K,102.39,81.73
apple,freeze10_alpaca_5K,101.42,94.08
apple,freeze3,85.37,90.12
apple,freeze5,86.15,89.45
apple,lora10,88.81,90.9
apple,lora3,83.37,91.91
apple,lora5,85.54,93.12
cherry,chatglm6b,61.05,69.81
cherry,freeze10,111.87,94.38
cherry,freeze10_alpaca_10K,151.63,118.25
cherry,freeze10_alpaca_20K,144.15,111.17
cherry,freeze10_alpaca_5K,121.17,101.03
cherry,freeze3,98.17,87.6
cherry,freeze5,100.47,87.06
cherry,lora10,94.79,85.41
cherry,lora3,89.57,83.86
cherry,lora5,95.76,85.97
chili,chatglm6b,71.73,103.1
chili,freeze10,111.68,122.73
chili,freeze10_alpaca_10K,127.96,128.76
chili,freeze10_alpaca_20K,125.6,122.77
chili,freeze10_alpaca_5K,136.06,131.31
chili,freeze3,104.48,126.1
chili,freeze5,99.51,118.69
chili,lora10,105.96,127.9
chili,lora3,102.79,129.98
chili,lora5,108.11,126.78
citrus,chatglm6b,61.37,66.81
citrus,freeze10,113.34,90.75
citrus,freeze10_alpaca_10K,122.46,95.38
citrus,freeze10_alpaca_20K,126.76,97.14
citrus,freeze10_alpaca_5K,123.73,94.15
citrus,freeze3,92.95,82.65
citrus,freeze5,95.59,83.77
citrus,lora10,95.24,82.41
citrus,lora3,89.07,80.25
citrus,lora5,92.36,81.57
corn,chatglm6b,23.16,22.52
corn,freeze10,89.77,35.74
corn,freeze10_alpaca_10K,125.86,52.33
corn,freeze10_alpaca_20K,116.57,53.99
corn,freeze10_alpaca_5K,116.85,52.18
corn,freeze3,43.24,23.85
corn,freeze5,55.64,25.65
corn,lora10,45.02,24.18
corn,lora3,34.43,22.1
corn,lora5,41.61,22.89
grape,chatglm6b,52.99,72.21
grape,freeze10,107.69,96.93
grape,freeze10_alpaca_10K,121.54,99.36
grape,freeze10_alpaca_20K,109.51,94.11
grape,freeze10_alpaca_5K,118.9,101.9
grape,freeze3,84.44,93.87
grape,freeze5,86.3,91.38
grape,lora10,87.36,90.09
grape,lora3,77.8,92.33
grape,lora5,83.5,89.41
peach,chatglm6b,58.87,65.72
peach,freeze10,114.88,88.32
peach,freeze10_alpaca_10K,124.54,98.59
peach,freeze10_alpaca_20K,121.44,87.93
peach,freeze10_alpaca_5K,114.86,92.06
peach,freeze3,85.06,79.77
peach,freeze5,90.33,78.74
peach,lora10,96.06,85.04
peach,lora3,83.11,79.0
peach,lora5,91.38,78.33
potato,chatglm6b,52.62,57.82
potato,freeze10,100.05,76.66
potato,freeze10_alpaca_10K,115.24,74.78
potato,freeze10_alpaca_20K,116.31,80.8
potato,freeze10_alpaca_5K,105.41,82.37
potato,freeze3,79.95,66.74
potato,freeze5,85.07,69.78
potato,lora10,85.48,71.88
potato,lora3,76.49,73.09
potato,lora5,85.05,71.87
rice,chatglm6b,54.05,49.01
rice,freeze10,111.47,72.56
rice,freeze10_alpaca_10K,146.65,97.47
rice,freeze10_alpaca_20K,145.73,102.57
rice,freeze10_alpaca_5K,145.0,82.72
rice,freeze3,86.61,64.6
rice,freeze5,89.33,61.41
rice,lora10,86.35,66.07
rice,lora3,81.01,62.56
rice,lora5,86.95,69.09
soybean,chatglm6b,53.15,56.1
soybean,freeze10,107.73,82.58
soybean,freeze10_alpaca_10K,114.67,81.97
soybean,freeze10_alpaca_20K,123.16,85.42
soybean,freeze10_alpaca_5K,116.55,84.63
soybean,freeze3,83.33,71.02
soybean,freeze5,87.54,68.14
soybean,lora10,86.96,71.39
soybean,lora3,81.21,74.12
soybean,lora5,83.02,70.78
strawberry,chatglm6b,73.73,97.0
strawberry,freeze10,124.01,119.86
strawberry,freeze10_alpaca_10K,132.34,122.05
strawberry,freeze10_alpaca_20K,125.17,112.27
strawberry,freeze10_alpaca_5K,129.36,123.45
strawberry,freeze3,110.72,124.03
strawberry,freeze5,104.23,116.4
strawberry,lora10,108.08,121.91
strawberry,lora3,103.76,117.47
strawberry,lora5,108.37,123.16
tomato,chatglm6b,58.62,75.22
tomato,freeze10,112.39,106.1
tomato,freeze10_alpaca_10K,125.89,109.13
tomato,freeze10_alpaca_20K,127.76,107.03
tomato,freeze10_alpaca_5K,124.81,112.81
tomato,freeze3,90.81,96.97
tomato,freeze5,92.36,93.31
tomato,lora10,97.71,95.98
tomato,lora3,90.71,94.13
tomato,lora5,92.61,96.82
wheat,chatglm6b,58.55,71.01
wheat,freeze10,106.28,103.97
wheat,freeze10_alpaca_10K,127.51,111.54
wheat,freeze10_alpaca_20K,152.74,127.87
wheat,freeze10_alpaca_5K,132.62,113.6
wheat,freeze3,86.81,92.97
wheat,freeze5,89.98,90.39
wheat,lora10,92.48,97.14
wheat,lora3,83.31,94.84
wheat,lora5,85.77,89.55
average,chatglm6b,56.55538461538462,67.69923076923077
average,freeze10,109.05538461538461,91.56846153846153
average,freeze10_alpaca_10K,126.30846153846154,98.40307692307692
average,freeze10_alpaca_20K,125.94538461538461,97.29230769230769
average,freeze10_alpaca_5K,122.05692307692308,97.40692307692308
average,freeze3,87.0723076923077,84.6376923076923
average,freeze5,89.42307692307692,82.62846153846155
average,lora10,90.02307692307691,85.4076923076923
average,lora3,82.81769230769231,84.28
average,lora5,87.69461538461539,84.56461538461538
